,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
96,Al0.091Cr0.182Cu0.182Fe0.182Ni0.364,AC,238.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
97,Al0.091Cr0.303Fe0.455Ni0.152,AC,371.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
98,Al0.091Hf0.182Nb0.182Ta0.182Ti0.182Zr0.182,AC,396.0,1,53.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.jallcom.2014.11.064
99,Al0.100Co0.200Cr0.200Fe0.200Mo0.100Ni0.200,AC,425.0,1,8.0,n,https://doi.org/10.1016/j.dib.2018.11.111,https://link.springer.com/article/10.1007/s11837-013-0753-6
100,Al0.100Co0.200Cr0.200Fe0.200Mo0.100Ni0.200,AC,571.0,7,46.0,y,https://doi.org/10.1016/j.vacuum.2020.109173,https://doi.org/10.1016/j.jallcom.2018.02.003
101,Al0.100Co0.200Cr0.200Fe0.200Ni0.200Ti0.100,PM,640.0,8,256.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.msea.2013.12.096
102,Al0.100Co0.250Cr0.080Fe0.150Ni0.360Ti0.060,AC,343.0,8,175.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11837-015-1484-7
103,Al0.100Co0.250Cr0.080Fe0.150Ni0.360Ti0.060,HM,341.0,8,175.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11837-015-1484-7
104,Al0.100Co0.250Cr0.080Fe0.150Ni0.360Ti0.060,HM,345.0,8,175.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11837-015-1484-7
105,Al0.100Co0.300Cr0.300Fe0.300,AC,620.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
106,Al0.100Cr0.350Cu0.240Fe0.050Ni0.260,AC,441.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
107,Al0.100Cr0.350Cu0.250Fe0.050Ni0.250,AC,472.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
108,Al0.100Cr0.350Cu0.260Fe0.050Ni0.240,AC,454.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
109,Al0.100Nb0.200Ta0.160Ti0.300V0.040Zr0.200,AC,530.0,1,52.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1007/s11837-014-1066-0
110,Al0.100Nb0.200Ta0.160Ti0.300V0.040Zr0.200,AC,530.0,8,39.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1007/s11837-014-1066-0
111,Al0.101Co0.180Cr0.180Fe0.180Mn0.180Ni0.180,AC,278.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
112,Al0.102Co0.204Cr0.204Fe0.204Mo0.082Ni0.204,AC,430.0,7,46.0,y,https://doi.org/10.1016/j.vacuum.2020.109173,https://doi.org/10.1016/j.jallcom.2018.02.003
113,Al0.104Co0.208Cr0.208Fe0.208Mo0.062Ni0.208,AC,340.0,7,46.0,y,https://doi.org/10.1016/j.vacuum.2020.109173,https://doi.org/10.1016/j.jallcom.2018.02.003
114,Al0.106Co0.213Cr0.213Fe0.213Mo0.043Ni0.213,AC,290.0,7,46.0,y,https://doi.org/10.1016/j.vacuum.2020.109173,https://doi.org/10.1016/j.jallcom.2018.02.003
115,Al0.107Cr0.179Cu0.179Fe0.179Ni0.357,AC,278.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
